Type,Pseud,Relationship,Fandom,Description
Request,Agay,Clara Oswin Oswald/Amy Pond,Doctor Who,Description
Request,Ogal,Amy Pond/Rory Williams,Doctor Who,Description
Request,Bukw,Vislor Turlough/Bernice Summerfield,Doctor Who,Description
Request,Asko,Jack Harkness/Martha Jones,Doctor Who,Description
Request,Zlnf,Second Doctor/Zoe Heriot/Jamie McCrimmon,Doctor Who,Description
Request,Wgzk,Amy Pond/Rose Tyler,Doctor Who,Description
Request,Tnlf,Suzie Costello/Jack Harkness,Doctor Who,Description
Request,Mzyx,Bernice Summerfield/Jack Harkness,Doctor Who,Description
Request,Uvdb,Tenth Doctor/Sarah Jane Smith,Doctor Who,Description
Request,Jldq,Twelfth Doctor/Idris,Doctor Who,Description
Request,Peaa,Tenth Doctor/Rose Tyler,Doctor Who,Description
Request,Oiab,Amy Pond/Rory Williams,Doctor Who,Description
Request,Qehw,Clara Oswin Oswald/Danny Pink,Doctor Who,Description
Request,Vzci,Sixth Doctor/Peri Brown/Yrcanos,Doctor Who,Description
Request,Ixpz,Twelfth Doctor/Idris,Doctor Who,Description
Request,Ukax,Tegan Jovanka/Nyssa of Traken,Doctor Who,Description
Request,Grys,Twelfth Doctor/Idris,Doctor Who,Description
Request,Wair,Seventh Doctor/Twelfth Doctor,Doctor Who,Description
Request,Fsbi,Clara Oswin Oswald/Rose Tyler,Doctor Who,Description
Request,Slqd,Amy Pond/Amy Pond,Doctor Who,Description
Request,Koxh,Twelfth Doctor/Jo Grant,Doctor Who,Description
Request,Eocj,Grace Holloway/Martha Jones/Rory Williams,Doctor Who,Description
Request,Noip,Adelaide Brooke/Wilfred Mott,Doctor Who,Description
Request,Dxdd,Twelfth Doctor/Jack Harkness/River Song,Doctor Who,Description
Request,Vljx,Tegan Jovanka/Nyssa of Traken,Doctor Who,Description
Request,Jdvr,Twelfth Doctor/The War Doctor,Doctor Who,Description
Request,Obml,Adric/Vislor Turlough,Doctor Who,Description
Request,Scmh,Twelfth Doctor/The War Doctor,Doctor Who,Description
Request,Ckdx,Ace McShane/Clara Oswin Oswald,Doctor Who,Description
Request,Xaud,Canton Everett Delaware III/Original Character(s),Doctor Who,Description
Request,Kexu,Charley Pollard/Clara Oswald,Doctor Who,Description
Request,Xsjg,Eighth Doctor/Fitz Kreiner,Doctor Who,Description
Request,Uilx,Twelfth Doctor/Jenny (Doctor Who: the Doctor's Daughter),Doctor Who,Description
Request,Iiew,Grace Holloway/Martha Jones/Rory Williams,Doctor Who,Description
Request,Yygu,Twelfth Doctor/Idris,Doctor Who,Description
Request,Vaen,Jack Harkness/Original Jack Harkness,Doctor Who,Description
Request,Atse,Twelfth Doctor/Jack Harkness,Doctor Who,Description
Request,Ftrq,Ben Jackson/Jamie McCrimmon,Doctor Who,Description
Request,Cuox,Twelfth Doctor/Jack Harkness/River Song,Doctor Who,Description
Request,Crkd,Twelfth Doctor/The War Doctor,Doctor Who,Description
Request,Zemp,Amy Pond/Rory Williams,Doctor Who,Description
Request,Eyog,Twelfth Doctor/Jack Harkness/River Song,Doctor Who,Description
Request,Guqt,Eighth Doctor/Romana III,Doctor Who,Description
Request,Ktyl,Adelaide Brooke/Wilfred Mott,Doctor Who,Description
Request,Otau,Eighth Doctor/Romana III,Doctor Who,Description
Request,Bkhs,Amy Pond/Rose Tyler,Doctor Who,Description
Request,Inqw,Tegan Jovanka/Nyssa of Traken,Doctor Who,Description
Request,Zdtd,Gwen Cooper/Jack Harkness/Ianto Jones,Doctor Who,Description
Request,Clhp,Twelfth Doctor/Jack Harkness/River Song,Doctor Who,Description
Request,Ybkq,Charley Pollard/Clara Oswald,Doctor Who,Description
Request,#N/A,Seventh Doctor/Twelfth Doctor,Doctor Who,Description
Request,Wali,Eleventh Doctor/Amy Pond,Doctor Who,Description
Request,Sbai,Twelfth Doctor/Jo Grant,Doctor Who,Description
Request,Vgvj,Amy Pond/Rose Tyler,Doctor Who,Description
Request,Umts,Amy Pond/Rory Williams,Doctor Who,Description
Request,Uzrl,Jack Harkness/Reinette,Doctor Who,Description
Request,Fqbd,Amy Pond/Amy Pond,Doctor Who,Description
Request,Pkqy,Twelfth Doctor/The War Doctor,Doctor Who,Description
Request,Zcxb,Seventh Doctor/Twelfth Doctor,Doctor Who,Description
Request,Agay,Eighth Doctor/Romana III,Doctor Who,Description
Request,Ogal,Twelfth Doctor/Rose Tyler,Doctor Who,Description
Request,Bukw,Amy Pond/Rory Williams,Doctor Who,Description
Request,Asko,Jenny (Doctor Who: The Doctor's Daughter)/Jack Harkness,Doctor Who,Description
Request,Zlnf,Tenth Doctor/Jack Harkness/Rose Tyler,Doctor Who,Description
Request,Tnlf,Tenth Doctor/Jenny (Doctor Who: The Doctor's Daughter)/Donna Noble,Doctor Who,Description
Request,Mzyx,Charley Pollard/Donna Noble,Doctor Who,Description
Request,Uvdb,Eleventh Doctor/Amy Pond/River Song/Rory Williams,Doctor Who,Description
Request,Oiab,Vislor Turlough/Bernice Summerfield,Doctor Who,Description
Request,Qehw,Suzie Costello/Jack Harkness,Doctor Who,Description
Request,Ixpz,Amy Pond/Rory Williams,Doctor Who,Description
Request,Ukax,Amy Pond/Rory Williams,Doctor Who,Description
Request,Grys,Eleventh Doctor/Amy Pond/Rory Williams,Doctor Who,Description
Request,Wair,Eleventh Doctor/Clara Oswin Oswald,Doctor Who,Description
Request,Fsbi,Suzie Costello/Jack Harkness,Doctor Who,Description
Request,Koxh,Eighth Doctor/Bernice Summerfield,Doctor Who,Description
Request,Dxdd,Eighth Doctor/Fitz Kreiner,Doctor Who,Description
Request,Vljx,Eleventh Doctor/Jack Harkness,Doctor Who,Description
Request,Jdvr,Eleventh Doctor/Jack Harkness/River Song,Doctor Who,Description
Request,Obml,Twelfth Doctor/The War Doctor,Doctor Who,Description
Request,Scmh,Seventh Doctor/Twelfth Doctor,Doctor Who,Description
Request,Ckdx,Third Doctor/Jo Grant,Doctor Who,Description
Request,Xaud,Clara Oswin Oswald/Sally Sparrow,Doctor Who,Description
Request,Kexu,Alice Carter/Jack Harkness,Doctor Who,Description
Request,Yygu,Eleventh Doctor/River Song,Doctor Who,Description
Request,Atse,Twelfth Doctor/Idris,Doctor Who,Description
Request,Ftrq,Clyde Langer/Luke Smith,Doctor Who,Description
Request,Cuox,Twelfth Doctor/Jo Grant,Doctor Who,Description
Request,Crkd,Suzie Costello/Jack Harkness,Doctor Who,Description
Request,Eyog,Amy Pond/Rory Williams,Doctor Who,Description
Request,Ktyl,Barbara Wright/Master (Ainley),Doctor Who,Description
Request,Otau,Eleventh Doctor/Clara Oswin Oswald,Doctor Who,Description
Request,Bkhs,Colonel Mace/Captain Marian Price,Doctor Who,Description
Request,Inqw,Eleventh Doctor/Clara Oswin Oswald,Doctor Who,Description
Request,Zdtd,Jenny (Doctor Who: The Doctor's Daughter)/Susan Foreman/Twelfth Doctor,Doctor Who,Description
Request,Clhp,Eleventh Doctor/River Song/The Doctor's TARDIS,Doctor Who,Description
Request,Ybkq,Eighth Doctor/Bernice Summerfield,Doctor Who,Description
Request,Wali,Eleventh Doctor/Rory Williams,Doctor Who,Description
Request,Umts,Eleventh Doctor/Rose Tyler,Doctor Who,Description
Request,Uzrl,Gwen Cooper/Jack Harkness/Ianto Jones,Doctor Who,Description
Request,Pkqy,Vislor Turlough/Bernice Summerfield,Doctor Who,Description
Request,Zcxb,Tenth Doctor/Eleventh Doctor/Twelfth Doctor,Doctor Who,Description
Request,Ogal,Eighth Doctor/Charley Pollard,Doctor Who,Description
Request,Asko,Grace Holloway/Martha Jones/Rory Williams,Doctor Who,Description
Request,Zlnf,Clara Oswin Oswald/Rose Tyler,Doctor Who,Description
Request,Mzyx,Eighth Doctor/Charley Pollard,Doctor Who,Description
Request,Oiab,Seventh Doctor/Sarah Jane Smith,Doctor Who,Description
Request,Qehw,Tenth Doctor/Jenny (Doctor Who: The Doctor's Daughter)/Donna Noble,Doctor Who,Description
Request,Ixpz,Clara Oswin Oswald/Rose Tyler,Doctor Who,Description
Request,Fsbi,Eleventh Doctor/Tasha Lem,Doctor Who,Description
Request,Koxh,Fifth Doctor/Tegan Jovanka/Nyssa of Traken/Vislor Turlough,Doctor Who,Description
Request,Dxdd,Sixth Doctor/Peri Brown/Yrcanos,Doctor Who,Description
Request,Vljx,Eleventh Doctor/The Doctor's TARDIS,Doctor Who,Description
Request,Obml,Twelfth Doctor/Idris,Doctor Who,Description
Request,Scmh,Adric/Vislor Turlough,Doctor Who,Description
Request,Ckdx,Tenth Doctor/Eleventh Doctor/Twelfth Doctor,Doctor Who,Description
Request,Kexu,Amy Pond/Rose Tyler,Doctor Who,Description
Request,Iiew,Jenny (Doctor Who: The Doctor's Daughter)/The Master (Simm),Doctor Who,Description
Request,Yygu,Suzie Costello/Jack Harkness,Doctor Who,Description
Request,Atse,Eighth Doctor/Donna Noble,Doctor Who,Description
Request,Ftrq,Eighth Doctor/Donna Noble,Doctor Who,Description
Request,Cuox,Fifth Doctor/Clara Oswin Oswald,Doctor Who,Description
Request,Crkd,Twelfth Doctor/Jo Grant,Doctor Who,Description
Request,Zemp,Twelfth Doctor/Idris,Doctor Who,Description
Request,Eyog,Sixth Doctor/Peri Brown/Yrcanos,Doctor Who,Description
Request,Ktyl,Charley Pollard/Clara Oswald,Doctor Who,Description
Request,Otau,Seventh Doctor/Twelfth Doctor,Doctor Who,Description
Request,Bkhs,Eighth Doctor/Grace Holloway,Doctor Who,Description
Request,Inqw,Fifth Doctor/Tegan Jovanka,Doctor Who,Description
Request,Zdtd,Jack Harkness/Original Jack Harkness,Doctor Who,Description
Request,Clhp,Fifth Doctor/Tegan Jovanka/Nyssa of Traken/Vislor Turlough,Doctor Who,Description
Request,Ybkq,Eighth Doctor/Grace Holloway/The Master (Roberts),Doctor Who,Description
Request,Wali,Fifth Doctor/Vislor Turlough,Doctor Who,Description
Request,Sbai,Eighth Doctor/Romana III,Doctor Who,Description
Request,Vgvj,Eighth Doctor/Martha Jones,Doctor Who,Description
Request,Umts,First Doctor/River Song,Doctor Who,Description
Request,Uzrl,Jack Harkness/Original Jack Harkness,Doctor Who,Description
Request,Fqbd,Eighth Doctor/Sarah Jane Smith,Doctor Who,Description
Request,Pkqy,Ian Chesterton/Clara Oswin Oswald,Doctor Who,Description
Request,Zcxb,Suzie Costello/Toshiko Sato,Doctor Who,Description
Request,Ogal,Clara Oswin Oswald/Rose Tyler,Doctor Who,Description
Request,Bukw,Twelfth Doctor/Idris,Doctor Who,Description
Request,Asko,Jack Harkness/Ianto Jones/Rose Tyler,Doctor Who,Description
Request,Zlnf,Twelfth Doctor/Jenny (Doctor Who: the Doctor's Daughter),Doctor Who,Description
Request,Mzyx,Amy Pond/Amy Pond/Rory Williams,Doctor Who,Description
Request,Oiab,Sixth Doctor/Peri Brown/Yrcanos,Doctor Who,Description
Request,Qehw,Adric/Vislor Turlough,Doctor Who,Description
Request,Ixpz,Eighth Doctor/Romana III,Doctor Who,Description
Request,Ukax,Adric/Vislor Turlough,Doctor Who,Description
Request,Grys,Jack Harkness/Ianto Jones,Doctor Who,Description
Request,Fsbi,Jack Harkness/Original Jack Harkness/Ianto Jones,Doctor Who,Description
Request,Koxh,Eighth Doctor/Grace Holloway,Doctor Who,Description
Request,Dxdd,Clara Oswin Oswald/Rose Tyler,Doctor Who,Description
Request,Vljx,Amy Pond/Rory Williams,Doctor Who,Description
Request,Obml,Twelfth Doctor/Jo Grant,Doctor Who,Description
Request,Scmh,Tenth Doctor/Jack Harkness/Rose Tyler,Doctor Who,Description
Request,Ckdx,Sixth Doctor/Peri Brown/Yrcanos,Doctor Who,Description
Request,Xaud,Amy Pond/Amy Pond/Rory Williams,Doctor Who,Description
Request,Kexu,Eighth Doctor/The Doctor's TARDIS,Doctor Who,Description
Request,Yygu,Clara Oswin Oswald/Rose Tyler,Doctor Who,Description
Request,Atse,Eighth Doctor/Grace Holloway/The Master (Roberts),Doctor Who,Description
Request,Ftrq,Eleventh Doctor/Alistair Gordon Lethbridge-Stewart/Kate Lethbridge-Stewart,Doctor Who,Description
Request,Cuox,Jack Harkness/River Song,Doctor Who,Description
Request,Crkd,Eighth Doctor/Romana III,Doctor Who,Description
Request,Ktyl,Eighth Doctor/Charley Pollard,Doctor Who,Description
Request,Otau,Twelfth Doctor/Jack Harkness/River Song,Doctor Who,Description
Request,Bkhs,Eighth Doctor/Charley Pollard,Doctor Who,Description
Request,Zdtd,Jenny Flint/River Song/Madame Vastra,Doctor Who,Description
Request,Clhp,Suzie Costello/Jack Harkness,Doctor Who,Description
Request,Wali,Jack Harkness/Rose Tyler,Doctor Who,Description
Request,Uzrl,Jenny Flint/Strax/Madame Vastra,Doctor Who,Description
Request,Pkqy,Ace McShane/Clara Oswin Oswald,Doctor Who,Description
Request,Zcxb,Eighth Doctor/Martha Jones,Doctor Who,Description
Request,Ogal,Twelfth Doctor/Idris,Doctor Who,Description
Request,Zlnf,Tenth Doctor/Jack Harkness,Doctor Who,Description
Request,Oiab,Tenth Doctor/Eleventh Doctor/Twelfth Doctor,Doctor Who,Description
Request,Qehw,Twelfth Doctor/Jack Harkness/River Song,Doctor Who,Description
Request,Ixpz,Jenny (Doctor Who: The Doctor's Daughter)/River Song,Doctor Who,Description
Request,Fsbi,Jenny Flint/Clara Oswin Oswald/Madame Vastra,Doctor Who,Description
Request,Dxdd,Tenth Doctor/Jenny (Doctor Who: The Doctor's Daughter)/Donna Noble,Doctor Who,Description
Request,Vljx,Jenny Flint/Madame Vastra,Doctor Who,Description
Request,Obml,Twelfth Doctor/Susan Foreman,Doctor Who,Description
Request,Scmh,Martha Jones/Mickey Smith,Doctor Who,Description
Request,Ckdx,Eleventh Doctor/Jack Harkness/River Song,Doctor Who,Description
Request,Kexu,Ben Jackson/Jamie McCrimmon,Doctor Who,Description
Request,Yygu,Amy Pond/River Song,Doctor Who,Description
Request,Crkd,Martha Jones/Thomas Milligan,Doctor Who,Description
Request,Ktyl,Ben Jackson/Jamie McCrimmon,Doctor Who,Description
Request,Otau,Fifth Doctor/Tegan Jovanka,Doctor Who,Description
Request,Bkhs,Ben Jackson/Polly Wright,Doctor Who,Description
Request,Clhp,Martha Jones/Thomas Milligan/Mickey Smith,Doctor Who,Description
Request,Wali,Ninth Doctor/Donna Noble,Doctor Who,Description
Request,Uzrl,Jenny (Doctor Who: The Doctor's Daughter)/Susan Foreman/Twelfth Doctor,Doctor Who,Description
Request,Pkqy,Ninth Doctor/Jack Harkness/Rose Tyler,Doctor Who,Description
Request,Ogal,Twelfth Doctor/The War Doctor,Doctor Who,Description
Request,Oiab,Clara Oswin Oswald/Rose Tyler,Doctor Who,Description
Request,Qehw,Tenth Doctor/Eleventh Doctor/Twelfth Doctor,Doctor Who,Description
Request,Fsbi,Ninth Doctor/Rose Tyler,Doctor Who,Description
Request,Dxdd,Eighth Doctor/Sarah Jane Smith,Doctor Who,Description
Request,Vljx,Ninth Doctor/The Doctor's TARDIS,Doctor Who,Description
Request,Obml,Twelfth Doctor/Alistair Gordon Lethbridge-Stewart,Doctor Who,Description
Request,Scmh,Tenth Doctor/Jenny (Doctor Who: The Doctor's Daughter)/Donna Noble,Doctor Who,Description
Request,Crkd,Adric/Vislor Turlough,Doctor Who,Description
Request,Ktyl,Eleventh Doctor/Eleventh Doctor (Ganger)/Jack Harkness,Doctor Who,Description
Request,Otau,Twelfth Doctor/Jo Grant,Doctor Who,Description
Request,Bkhs,Barbara Wright/Master (Ainley),Doctor Who,Description
